Timestamp,Age,Gender,Marital status,Part TIme/ Full Time Student,Where are you from?,Which University / Institute are you from?,Which faculty are you from?,Which academic year are you currently in? ,What is your preferred mode of learning ?,Are you missing traditional learning?,Benefits of e-learning you feel compared to in-class learning? [Easy to attend classes without missing],Benefits of e-learning you feel compared to in-class learning? [Ability to record lecture],Benefits of e-learning you feel compared to in-class learning? [Access to more learning materials],Benefits of e-learning you feel compared to in-class learning? [Learning on your own pace],Benefits of e-learning you feel compared to in-class learning? [Comfort environment at home],Benefits of e-learning you feel compared to in-class learning? [More time to focus on other interest],Any other benefits you feel compared to in-class learning?,Strategies you like on Online Teaching  ? [Interactive Discussions only with the pre-uploaded  record Lectures],Strategies you like on Online Teaching  ? [Lectures with in-class quizzes],Strategies you like on Online Teaching  ? [Online team Activities [Breakout Room]],Strategies you like on Online Teaching  ? [Video based teaching with whiteboard],Strategies you like on Online Teaching  ? [Online teaching with touch Pad],Strategies you like on Online Teaching  ? [Lectures with Polls ],Strategies you like on Online Teaching  ? [Offline learning with recorded videos],What are the online based assessment methodologies you prefer ?,Generic skills and learning experience in E-Learning (E-Learning developed my problem-solving skills),Generic skills and learning experience in E-Learning (E-Learning helped me develop my ability to work as team member),Generic skills and learning experience in E-Learning (E-Learning helped me to develop the ability to plan my own work),Generic skills and learning experience in E-Learning (E-Learning improves my confident about tackling unfamiliar problems),"Generic skills and learning experience in E-Learning (As a result of E-Learning, I am more positive about achieving my goals)",Technical challenges you faces on E-Learning? [Poor network coverage],"Technical challenges you faces on E-Learning? [Issues is in handling IT infrastructures [Eg : Zoom, Moodle, Etc)]",Technical challenges you faces on E-Learning? [Lack of access to personal Computer],Technical challenges you faces on E-Learning? [Frequent power failures],Personal challenges you faces on E-Learning? [Lack of social interaction with colleagues],Personal challenges you faces on E-Learning? [Lack of Team work / Group Study],Personal challenges you faces on E-Learning? [Lack of motivation to study],Personal challenges you faces on E-Learning? [Lack of concentration ],Course related challenges you faces on E-Learning? [Missing practical experience ],Course related challenges you faces on E-Learning? [Missing group project activities],Course related challenges you faces on E-Learning? [Additional stress due to online exams],Course related challenges you faces on E-Learning? [missing class room Interative learning],Course related challenges you faces on E-Learning? [Lack of focus on lecture time],Any other challenges you faces compared to in-class learning?,Overall satisfaction through E-Learning,Which of the following do you still wish to have online if universities opt for a hybrid approach?,Please indicate that you agree to participate in this study
10/17/2021 23:39:01,26,Male,Single,Yes,Jaffna,University of Moratuwa,Information Technology,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,"Can able to shorten the lectures time, can able to do auxiliary activities,  low cost.",Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,May be,Disagree,Strongly Disagree,May be,Strongly Agree,Strongly Agree,Agree,Agree,May be,Strongly Agree,May be,Strongly Agree,May be,"Technology adaptation, missing some inclass assignments, ",,"Assigments, Practical Sessions",I agree to participate in this study
10/20/2021 15:38:48,24,Male,Single,Yes,Kalutara,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],3,Not Sure,Strongly Agree,Agree,Not Sure,Strongly Disagree,Strongly Disagree,,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,Lectures,I agree to participate in this study
10/20/2021 15:45:20,23,Male,Single,No,Galle,University of Moratuwa,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],3,Agree,Agree,Agree,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Diasgree,Diasgree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,9,"Lectures, Assigments",I agree to participate in this study
10/20/2021 15:45:29,21,Male,Single,No,Kandy,University of Moratuwa,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Strongly Disagree,Not Sure,Not Sure,Disagree,,Disagree,Not Sure,Not Sure,Not Sure,Disagree,Strongly Agree,Agree,"Online Presentations, Online Report Submissions",Not Sure,Disagree,Not Sure,Not Sure,Strongly Disagree,Agree,Not Sure,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,3,"Lectures, Exams",I agree to participate in this study
10/20/2021 15:46:38,21,Male,Single,Yes,Galle,University of Moratuwa,Engineering,Second Year,Traditional Learning [In Class Learning],4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,,8,"Lectures, Assigments",I agree to participate in this study
10/20/2021 16:05:59,23,Male,Single,No,Jaffna,University of Moratuwa,Engineering,Third Year,Traditional Learning [In Class Learning],5,Strongly Disagree,Not Sure,Disagree,Not Sure,Disagree,Not Sure,,Disagree,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Quizzes,Agree,Agree,Not Sure,Agree,Not Sure,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Diasgree,Diasgree,Not Sure,Disagree,Disagree,Not Sure,Disagree,Not Sure,,4,"Exams, Assigments",I agree to participate in this study
10/20/2021 16:12:14,24,Female,Single,No,Galle,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,,Agree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Not Sure,Strongly Agree,Strongly Disagree,Not Sure,Not Sure,Disagree,Disagree,Not Sure,Strongly Agree,Diasgree,Not Sure,Not Sure,Not Sure,Not Sure,Agree,Not Sure,Not Sure,,9,"Exams, Practical Sessions",I agree to participate in this study
10/20/2021 16:57:17,21,Male,Single,No,Gampaha,University of Moratuwa,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],4,Not Sure,Agree,Strongly Agree,Strongly Agree,Not Sure,Disagree,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Not Sure,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,"Lectures, Exams, Assigments, Practical Sessions",I agree to participate in this study
10/20/2021 17:21:36,25,Male,Single,No,Colombo,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Strongly Agree,Disagree,Disagree,Not Sure,Not Sure,,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,"Quizzes, Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Not Sure,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,High work load compared to in class learning,4,"Lectures, Exams",I agree to participate in this study
10/20/2021 17:58:22,23,Female,Single,No,Gampaha,University of Moratuwa,Engineering,Third Year,Online Learning with Real-time Interaction,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Not Sure,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Quizzes,Not Sure,Agree,Strongly Disagree,Not Sure,Not Sure,Agree,Disagree,Disagree,Agree,Agree,Diasgree,Not Sure,Diasgree,Not Sure,Disagree,Agree,Agree,Agree,,8,"Lectures, Assigments",I agree to participate in this study
